MSOA11CD,Local authority,covid_19_deaths_per_thousand,total_population_mid_2018,death_rate,over_70_prop,proportion_at_risk_jobs,all_black_prop,Hypertension,Obesity (18+),Diabetes
E02000071,Bexley,0.391747192,7658,0.051155288,0.100026116,0.272676056,0.053561644,12.39,9.4,5.21
E02000072,Bexley,0.077814956,12851,0.006055167,0.059139367,0.308773424,0.207346174,10.5,10,4.88
E02000073,Bexley,0.549349936,10922,0.050297559,0.140358909,0.274563107,0.046717643,13.35,7.19,5.03
E02000074,Bexley,0.820921778,8527,0.096273224,0.102263399,0.302483737,0.10711953,11.79,10.03,5.12
E02000075,Bexley,0.484202881,8261,0.058613107,0.17140782,0.26828651,0.029189733,13.52,6.99,4.98
E02000077,Bexley,1.092100473,8241,0.132520383,0.120131052,0.292244479,0.046785121,13.36,8.84,5.11
E02000078,Bexley,0.631871604,7913,0.079852345,0.141412865,0.26125902,0.041226354,13.51,8.94,5.24
E02000079,Bexley,2.193995381,8660,0.253348196,0.153464203,0.269172169,0.027082009,12.78,5.52,4.65
E02000080,Bexley,0.098289758,10174,0.009660877,0.124827993,0.271400566,0.04835631,12.44,8.15,4.91
E02000081,Bexley,0.37327361,8037,0.046444396,0.15304218,0.280169972,0.02994809,13.25,6.89,4.88
E02000082,Bexley,0.542829226,9211,0.058932714,0.122570839,0.29440967,0.036728256,12.25,7.8,4.68
E02000083,Bexley,0.262697023,11420,0.023003242,0.100788091,0.267070009,0.053730427,11.07,6.52,4.5
E02000084,Bexley,0.090686497,11027,0.008224041,0.135939059,0.256964809,0.030636218,12.51,5.89,4.74
E02000085,Bexley,0.249875062,8004,0.031218773,0.126811594,0.281847529,0.027112631,11.43,6.32,4.75
E02000086,Bexley,0.546896363,7314,0.074773908,0.137544435,0.246021393,0.012418122,11.33,5.96,4.54
E02000087,Bexley,0.248169748,8059,0.030794112,0.166025561,0.236941303,0.018208207,11.6,5.38,4.46
E02000088,Bexley,0.256607647,7794,0.032923742,0.147677701,0.261340726,0.014346646,12.64,5.84,4.92
E02000089,Bexley,1.011633789,7908,0.127925365,0.151997977,0.27218319,0.021457022,12.49,6.63,4.96
E02000090,Bexley,0.943198491,9542,0.098847044,0.153846154,0.253968254,0.019711208,11.92,5.56,4.76
E02000091,Bexley,0.903070439,9966,0.090615135,0.180212723,0.261535049,0.023858707,12.38,5.48,4.82
E02000092,Bexley,1.030320871,6794,0.151651585,0.116131881,0.299394802,0.047152194,11.94,5.31,4.8
E02000093,Brent,1.255943303,11147,0.11267097,0.101551987,0.259923664,0.095837545,13.26,6.49,7.92
E02000094,Brent,0.653381248,9183,0.071151176,0.093760209,0.287731256,0.134461468,12.29,5.31,6.41
E02000095,Brent,0.700420252,9994,0.070084076,0.118471083,0.245606422,0.076201996,12.16,5.64,7.78
E02000096,Brent,0.936454849,7475,0.125278241,0.161204013,0.218823529,0.041458278,10.95,6.25,6.47
E02000097,Brent,1.099263493,9097,0.120838023,0.098603935,0.279551548,0.116208975,10.77,5.73,6.87
E02000098,Brent,2.370510845,8437,0.280966083,0.103591324,0.243221477,0.127265861,11.39,6.74,6.81
E02000099,Brent,0.559221564,8941,0.062545751,0.087685941,0.24938935,0.139657747,11.05,6.38,6.84
E02000100,Brent,0.680812436,8813,0.077250929,0.115397708,0.309022022,0.083094897,10.65,4.74,6.46
E02000101,Brent,1.562825589,9598,0.162828255,0.099291519,0.272727273,0.225246464,10.33,8.84,5.95
E02000102,Brent,1.197764174,7514,0.159404335,0.078387011,0.278392914,0.234236548,11.79,8.63,6.33
E02000103,Brent,0.433980688,9217,0.047084809,0.095367256,0.284891692,0.210936604,11.59,6.48,5.65
E02000104,Brent,1.373437715,7281,0.188633116,0.125120176,0.251766217,0.132702823,10.16,8.13,6.29
E02000105,Brent,0.616903146,9726,0.063428249,0.080403043,0.256380777,0.13931754,10.32,5.15,6.67
E02000106,Brent,1.126549005,10652,0.105759388,0.073695081,0.287707641,0.219438191,11.5,8.65,6.45
E02000107,Brent,0.173415417,11533,0.015036453,0.07075349,0.264813844,0.128226712,8.88,4.69,4.63
E02000108,Brent,0.901713255,6654,0.135514466,0.088518185,0.250402317,0.149605103,11.17,5.13,7.01
E02000109,Brent,1.085860544,12893,0.084220937,0.069960444,0.261561307,0.220397405,10.04,7.46,6.01
E02000110,Brent,0.463929483,8622,0.053807641,0.079563906,0.255104382,0.139854087,9.38,4.8,4.69
E02000111,Brent,0.926097425,10798,0.085765644,0.078625671,0.252159258,0.119914128,9.41,5.01,6.62
E02000112,Brent,0.762485703,10492,0.072673056,0.076343881,0.269482577,0.178011026,10.07,6.3,6.88
E02000113,Brent,0.815078961,9815,0.083044214,0.068874172,0.325124597,0.441740031,11.76,5.32,7.13
E02000114,Brent,0.492610837,10150,0.048533087,0.065320197,0.267256993,0.150721421,10.17,4.81,4.87
E02000115,Brent,0.453977982,8811,0.051524002,0.081262059,0.216677195,0.116786571,8.58,4.36,3.76
E02000116,Brent,0.639249947,9386,0.068106749,0.052844662,0.303070408,0.228995462,11.12,5.26,5.62
E02000117,Brent,2.14954706,13026,0.165019734,0.073929065,0.309082988,0.418296845,11.56,6.33,6.68
E02000118,Brent,1.353703346,10342,0.130893768,0.07464707,0.254663969,0.151193634,10.75,4.39,7.35
E02000119,Brent,1.222222222,9000,0.135802469,0.068777778,0.326490328,0.511589404,11.63,5.98,7.05
E02000120,Brent,0.216990344,9217,0.023542405,0.071172833,0.224378741,0.122422401,8.99,4.66,3.71
E02000121,Brent,1.393663477,10763,0.129486526,0.074979095,0.232704403,0.083958357,11.28,4.24,7.42
E02000122,Brent,1.02406554,7812,0.131088779,0.104326677,0.23787915,0.1159797,9.43,4.93,4.43
E02000123,Brent,0.754527163,15904,0.047442603,0.05306841,0.280720339,0.33066105,11.17,6.88,6.54
E02000124,Brent,0.592534071,10126,0.058516104,0.075943117,0.216216216,0.125611426,9.09,4.21,4.14
E02000125,Brent,0.478377344,10452,0.045768977,0.085629545,0.248768891,0.18779473,11.14,6.24,5.94
E02000126,Brent,0.630994447,7924,0.079630798,0.071933367,0.314347961,0.39318328,9.55,6.59,4.78
E02000127,Bromley,0.211617818,9451,0.02239105,0.092053751,0.294889314,0.096546033,12.03,6.87,4.44
E02000128,Bromley,0.128139416,7804,0.01641971,0.12942081,0.259871932,0.027968193,13.69,5.96,4.29
E02000130,Bromley,0.115928588,8626,0.013439438,0.084511941,0.242897727,0.163507708,10.41,6.4,4.33
E02000131,Bromley,0.569746463,10531,0.054101839,0.045579717,0.236130583,0.219566674,9.5,6.51,4.1
E02000132,Bromley,0.490918017,10185,0.0482001,0.101030928,0.209979633,0.0679351,9.88,4.54,3.41
E02000133,Bromley,0.377109456,10607,0.035552885,0.161968511,0.175191816,0.020820321,12.21,4.57,3.74
E02000134,Bromley,0.586313762,11939,0.049109118,0.090124801,0.226936952,0.051239209,11.21,4.76,3.95
E02000135,Bromley,0.664325709,10537,0.06304695,0.063775268,0.300519358,0.283542223,10.36,7.23,4.71
E02000136,Bromley,1.390095569,5755,0.241545711,0.172545613,0.261934939,0.039280726,12.47,7.42,4.49
E02000137,Bromley,0.70663055,8491,0.083221122,0.151218938,0.227624577,0.039611551,10.93,4.17,3.63
E02000138,Bromley,0.583294447,8572,0.068046482,0.183504433,0.199299883,0.038810484,11.94,4.68,3.79
E02000139,Bromley,0.636780438,7852,0.081097865,0.085328579,0.233309056,0.06630972,10.37,5.22,3.74
E02000140,Bromley,0.571493885,8749,0.065321052,0.091096125,0.289913366,0.084442234,13.02,10.08,5.17
E02000141,Bromley,0.403280011,7439,0.054211589,0.080118295,0.260786974,0.165994236,10.71,6.58,4.47
E02000142,Bromley,0.452488688,8840,0.051186503,0.124886878,0.234225621,0.034520217,10.21,4.34,3.62
E02000144,Bromley,0.405227434,9871,0.041052318,0.105257826,0.223110924,0.047344776,10.1,3.71,3.73
E02000145,Bromley,0.109015589,9173,0.011884399,0.088520658,0.28278565,0.113653228,13.39,9.23,5.01
E02000146,Bromley,0.735603195,9516,0.077301723,0.114123581,0.235524798,0.032916867,11.09,5.71,3.88
E02000147,Bromley,0.602918124,8293,0.072702053,0.149764862,0.235714286,0.025222738,11.25,4.16,3.7
E02000148,Bromley,0.148367953,6740,0.022013049,0.158160237,0.22459382,0.023690205,12.65,5.83,4.12
E02000149,Bromley,0.616446801,8111,0.076001332,0.11367279,0.274113082,0.05150493,12.4,7.74,4.87
E02000150,Bromley,0.115380178,8667,0.013312585,0.119072343,0.263119176,0.062148246,11.45,4.52,3.92
E02000151,Bromley,0.261267146,7655,0.034130261,0.166557805,0.210055866,0.013731186,13.18,5.38,4.21
E02000152,Bromley,0,7927,0,0.100290148,0.304212707,0.061168594,12.75,7.2,4.31
E02000153,Bromley,0.126374321,7913,0.015970469,0.137495261,0.257814518,0.023726628,13.5,4.74,3.89
E02000154,Bromley,0,8509,0,0.142672464,0.243695381,0.02977761,12.93,5.95,4.61
E02000155,Bromley,0.430230891,6973,0.06169954,0.189731823,0.26442456,0.040115858,14.02,7.17,5.15
E02000156,Bromley,0.735354196,12239,0.060082866,0.174033826,0.252985329,0.025467174,13.42,5.2,4.23
E02000157,Bromley,0.847252481,8262,0.10254811,0.180827887,0.232633279,0.009668508,14.33,6.33,4.58
E02000158,Bromley,0.383386581,7825,0.04899509,0.159361022,0.259744409,0.053367735,13.72,5.91,4.85
E02000159,Bromley,0.574547544,6962,0.08252622,0.175237001,0.243251629,0.020111568,14.04,6.29,4.22
E02000160,Bromley,0.497636228,8038,0.061910454,0.153894003,0.270401637,0.015147658,14.8,5.35,4.22
